NAME,median_household_income,median_earnings,state,public use microdata area,state_fips,puma_code,puma_full_id
"Jackson County (Central)--Medford & Central Point Cities PUMA, Oregon",54660.0,31347.0,41,00901,41,00901,4100901
"Josephine, Coos & Curry Counties PUMA; Oregon",49312.0,28040.0,41,00800,41,00800,4100800
"Deschutes County PUMA, Oregon",68937.0,34230.0,41,00400,41,00400,4100400
"Marion County (Outside Salem & Keizer Cities)--Woodburn & Silverton Cities PUMA, Oregon",67162.0,33958.0,41,01105,41,01105,4101105
"Marion County (West Central)--Salem City (South) & Four Corners PUMA, Oregon",62674.0,32535.0,41,01104,41,01104,4101104
"Marion County (West Central)--Salem (North), Keizer Cities & Hayesville PUMA; Oregon",55395.0,29344.0,41,01103,41,01103,4101103
"Yamhill & Polk Counties PUMA, Oregon",66572.0,32744.0,41,01200,41,01200,4101200
"Portland City (Southeast) PUMA, Oregon",75855.0,38988.0,41,01303,41,01303,4101303
"Portland City (Central East) PUMA, Oregon",76302.0,42995.0,41,01305,41,01305,4101305
"Multnomah County (East)--Gresham & Troutdale Cities PUMA, Oregon",61586.0,33866.0,41,01316,41,01316,4101316
"Portland City (East) PUMA, Oregon",52468.0,31117.0,41,01302,41,01302,4101302
"Portland City (North & Northeast) PUMA, Oregon",80958.0,42625.0,41,01301,41,01301,4101301
"Portland City (Northwest & Southwest) PUMA, Oregon",84077.0,51710.0,41,01314,41,01314,4101314
"Lane County (West Central)--Eugene City (West & South) PUMA, Oregon",50884.0,25198.0,41,00703,41,00703,4100703
"Lane County (East Central)--Eugene (Northeast) & Springfield Cities PUMA, Oregon",56376.0,30222.0,41,00704,41,00704,4100704
"Lane County (Outside Eugene & Springfield Cities) PUMA, Oregon",58605.0,31723.0,41,00705,41,00705,4100705
"Logan, Mingo, Wyoming & McDowell Counties PUMA; West Virginia",34960.0,30344.0,54,01300,54,01300,5401300
"Ohio, Marshall, Hancock & Brooke Counties PUMA; West Virginia",48133.0,30539.0,54,00100,54,00100,5400100
"Greenbrier, Nicholas, Summers, Monroe & Pocahontas Counties PUMA; West Virginia",39615.0,26407.0,54,01100,54,01100,5401100
"Randolph, Upshur, Barbour, Lewis, Hardy, Grant, Pendleton & Tucker Counties PUMA; West Virginia",43566.0,28555.0,54,00500,54,00500,5400500
"Berkeley, Jefferson, Mineral, Hampshire & Morgan Counties PUMA; West Virginia",64295.0,35774.0,54,00400,54,00400,5400400
"Duval County (Southwest Central)--Jacksonville City (Southwest) PUMA, Florida",51018.0,31949.0,12,03107,12,03107,1203107
"Duval County (South Central)--Jacksonville City (Southeast River) PUMA, Florida",68907.0,40582.0,12,03106,12,03106,1203106
"Suwannee, Taylor, Madison, Hamilton & Lafayette Counties PUMA; Florida",41758.0,27257.0,12,12100,12,12100,1212100
"Osceola County (East) PUMA, Florida",61351.0,30563.0,12,09702,12,09702,1209702
"Osceola County (West) PUMA, Florida",51348.0,26366.0,12,09701,12,09701,1209701
"Indian River County PUMA, Florida",57945.0,29236.0,12,06100,12,06100,1206100
"Manatee County (West Central) PUMA, Florida",49499.0,29176.0,12,08102,12,08102,1208102
"Manatee County (North) PUMA, Florida",65210.0,33164.0,12,08101,12,08101,1208101
"Okaloosa County PUMA, Florida",64373.0,32151.0,12,09100,12,09100,1209100
"Miami-Dade (South/Outside Urban Development Boundary) & Monroe Counties PUMA, Florida",70134.0,35018.0,12,08700,12,08700,1208700
"Brevard County (East)--Beaches & Merritt Island PUMA, Florida",70772.0,39810.0,12,00902,12,00902,1200902
"Miami-Dade County (East Central)--Miami City (West) PUMA, Florida",41159.0,26199.0,12,08615,12,08615,1208615
"Miami-Dade County (North Central)--Greater Miami Lakes Town PUMA, Florida",64580.0,31929.0,12,08601,12,08601,1208601
"Brevard County (Northwest)--Titusville, Rockledge & Cocoa Cities PUMA; Florida",57316.0,33584.0,12,00901,12,00901,1200901
"Brevard County (Southwest)--Melbourne & West Melbourne Cities PUMA, Florida",63636.0,34280.0,12,00903,12,00903,1200903
"Brevard County (Southeast)--Palm Bay City, Grant-Valkaria & Malabar Towns PUMA; Florida",51584.0,28880.0,12,00904,12,00904,1200904
"Charlotte County PUMA, Florida",52724.0,29195.0,12,01500,12,01500,1201500
"Clay County PUMA, Florida",68657.0,35468.0,12,01900,12,01900,1201900
"Martin County PUMA, Florida",65660.0,32438.0,12,08500,12,08500,1208500
"Orange County (Northeast) PUMA, Florida",77909.0,36394.0,12,09510,12,09510,1209510
"Orange County (Southeast) PUMA, Florida",67358.0,31723.0,12,09509,12,09509,1209509
"Orange County (North Central)--Orlando City (Univ. of Central Florida) & Union Park PUMA, Florida",53811.0,27114.0,12,09508,12,09508,1209508
"Orange County (South Central)--Orlando City (South Central), Conway & Pine Castle PUMA; Florida",46570.0,26581.0,12,09504,12,09504,1209504
"Orange County (Central)--Orlando City (East Downtown) & Azalea Park PUMA, Florida",56266.0,35547.0,12,09505,12,09505,1209505
"Orange County (Northwest) PUMA, Florida",59684.0,32022.0,12,09501,12,09501,1209501
"Orange County (Southwest)--Disney-International Drive Region PUMA, Florida",86185.0,40173.0,12,09503,12,09503,1209503
